인덱스,팀명,YEAR,종합순위,ERA(투수),G(투수),W(투수),L(투수),SV(투수),HLD(투수),WPCT(투수),IP(투수),H(투수),HR(투수),BB(투수),HBP(투수),SO(투수),R(투수),ER(투수),WHIP(투수),CG(투수),SHO(투수),QS(투수),BSV(투수),TBF(투수),NP(투수),AVG(투수),2B(투수),3B(투수),SAC(투수),SF(투수),IBB(투수),WP(투수),BK(투수),AVG(타자),PA(타자),AB(타자),R(타자),H(타자),2B(타자),3B(타자),HR(타자),TB(타자),RBI(타자),SAC(타자),SF(타자),BB(타자),IBB(타자),HBP(타자),SO(타자),GDP(타자),SLG(타자),OBP(타자),OPS(타자),MH(타자),RISP(타자),PH-BA(타자),E(수비),PKO(수비),PO(수비),A(수비),DP(수비),FPCT(수비),PB(수비),SB(수비),CS(수비),CS%(수비),SBA(수비),SB(주루),CS(주루),SB%(주루),OOB(주루),PKO(주루),순위등락,ERA(투수)_현재성장,G(투수)_현재성장,W(투수)_현재성장,L(투수)_현재성장,SV(투수)_현재성장,HLD(투수)_현재성장,WPCT(투수)_현재성장,IP(투수)_현재성장,H(투수)_현재성장,HR(투수)_현재성장,BB(투수)_현재성장,HBP(투수)_현재성장,SO(투수)_현재성장,R(투수)_현재성장,ER(투수)_현재성장,WHIP(투수)_현재성장,CG(투수)_현재성장,SHO(투수)_현재성장,QS(투수)_현재성장,BSV(투수)_현재성장,TBF(투수)_현재성장,NP(투수)_현재성장,AVG(투수)_현재성장,2B(투수)_현재성장,3B(투수)_현재성장,SAC(투수)_현재성장,SF(투수)_현재성장,IBB(투수)_현재성장,WP(투수)_현재성장,BK(투수)_현재성장,AVG(타자)_현재성장,PA(타자)_현재성장,AB(타자)_현재성장,R(타자)_현재성장,H(타자)_현재성장,2B(타자)_현재성장,3B(타자)_현재성장,HR(타자)_현재성장,TB(타자)_현재성장,RBI(타자)_현재성장,SAC(타자)_현재성장,SF(타자)_현재성장,BB(타자)_현재성장,IBB(타자)_현재성장,HBP(타자)_현재성장,SO(타자)_현재성장,GDP(타자)_현재성장,SLG(타자)_현재성장,OBP(타자)_현재성장,OPS(타자)_현재성장,MH(타자)_현재성장,RISP(타자)_현재성장,PH-BA(타자)_현재성장,E(수비)_현재성장,PKO(수비)_현재성장,PO(수비)_현재성장,A(수비)_현재성장,DP(수비)_현재성장,FPCT(수비)_현재성장,PB(수비)_현재성장,SB(수비)_현재성장,CS(수비)_현재성장,CS%(수비)_현재성장,SBA(수비)_현재성장,SB(주루)_현재성장,CS(주루)_현재성장,SB%(주루)_현재성장,OOB(주루)_현재성장,PKO(주루)_현재성장,ERA(투수)_1년전성장,G(투수)_1년전성장,W(투수)_1년전성장,L(투수)_1년전성장,SV(투수)_1년전성장,HLD(투수)_1년전성장,WPCT(투수)_1년전성장,IP(투수)_1년전성장,H(투수)_1년전성장,HR(투수)_1년전성장,BB(투수)_1년전성장,HBP(투수)_1년전성장,SO(투수)_1년전성장,R(투수)_1년전성장,ER(투수)_1년전성장,WHIP(투수)_1년전성장,CG(투수)_1년전성장,SHO(투수)_1년전성장,QS(투수)_1년전성장,BSV(투수)_1년전성장,TBF(투수)_1년전성장,NP(투수)_1년전성장,AVG(투수)_1년전성장,2B(투수)_1년전성장,3B(투수)_1년전성장,SAC(투수)_1년전성장,SF(투수)_1년전성장,IBB(투수)_1년전성장,WP(투수)_1년전성장,BK(투수)_1년전성장,AVG(타자)_1년전성장,PA(타자)_1년전성장,AB(타자)_1년전성장,R(타자)_1년전성장,H(타자)_1년전성장,2B(타자)_1년전성장,3B(타자)_1년전성장,HR(타자)_1년전성장,TB(타자)_1년전성장,RBI(타자)_1년전성장,SAC(타자)_1년전성장,SF(타자)_1년전성장,BB(타자)_1년전성장,IBB(타자)_1년전성장,HBP(타자)_1년전성장,SO(타자)_1년전성장,GDP(타자)_1년전성장,SLG(타자)_1년전성장,OBP(타자)_1년전성장,OPS(타자)_1년전성장,MH(타자)_1년전성장,RISP(타자)_1년전성장,PH-BA(타자)_1년전성장,E(수비)_1년전성장,PKO(수비)_1년전성장,PO(수비)_1년전성장,A(수비)_1년전성장,DP(수비)_1년전성장,FPCT(수비)_1년전성장,PB(수비)_1년전성장,SB(수비)_1년전성장,CS(수비)_1년전성장,CS%(수비)_1년전성장,SBA(수비)_1년전성장,SB(주루)_1년전성장,CS(주루)_1년전성장,SB%(주루)_1년전성장,OOB(주루)_1년전성장,PKO(주루)_1년전성장,순위등락_1년전성장
2011SK,SK,2011,2,3.59,133,71,59,0,63,0.546,1192 1/3,1001,93,541,65,1006,522,476,1.29,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3,0.263,5124,4404,584,1157,204,18,100,1697,561,147,36,470,15,67,891,88,0.385,0.34,0.725,133,0.263,0.238,68,5,3577,1378,124,0.986,6,93,64,40.8,166,105,61,63.3,46,9,-1,-0.12,0,-13,12,0,24,-0.095,-6,-73,-24,-2,18,-85,-23,-18,-0.06,-1,-2,-19,6,-82,-167,-0.01,-6,-1,14,13,-3,-16,1,-0.011,-89,-35,-120,-60,-18,2,-20,-134,-87,0,-8,-15,-10,-31,78,2,-0.027,-0.015,-0.042,1,-0.021,-0.005,-13,-1,-18,-22,-2,0.002,-1,-16,5,5.7,-64,-56,-8,-6.7,-5,-4,0.04,0,4,0,0,5,0.011,-14.66666667,-67,-13,24,-7,59,-5,0,-0.02,0,7,-1,-1,-89,-97,-0.009,1,0,21,-9,-7,12,-1,-0.011,-166,-135,-28,-86,-13,-1,-46,-239,-45,19,4,-67,9,14,-79,-17,-0.041,-0.014,-0.055,-1,0.028,-0.051,-13,1,-44,-6,-26,0.002,-2,29,16,0.1,-19,-20,1,-2.7,-9,3,1
2011롯데,롯데,2011,3,4.2,133,72,56,0,45,0.563,1187,1256,113,430,58,787,619,554,1.42,3,6,67,15,5114,19624,0.28,202,13,102,31,19,62,4,0.288,5234,4599,713,1324,226,30,111,1943,666,61,44,466,19,64,836,124,0.422,0.358,0.78,133,0.29,0.229,106,10,3561,1576,165,0.98,7,88,60,40.5,170,112,58,65.9,56,5,1,-0.62,0,3,-5,0,8,0.032,-7,-35,-36,11,-20,8,-91,-86,-0.01,-4,0,4,1,-90,406,-0.002,-25,-7,13,-6,-22,13,1,0,-27,-74,-60,-21,6,14,-74,-209,-73,1,3,46,4,-3,-37,19,-0.039,0.006,-0.033,0,-0.025,0.027,4,-1,-21,-104,35,-0.001,1,-43,-2,8.4,-5,-12,7,-5,-6,-2,0.07,0,3,-6,0,0,0.035,31.66666667,1,10,-68,11,57,41,27,-0.1,1,-7,11,7,39,441,-0.005,-14,6,22,-5,6,0,0,0.011,208,253,136,122,-32,1,64,284,142,0,-8,-36,6,-1,57,-16,0.038,0.002,0.04,0,0.042,0.014,6,2,95,157,-22,0,-3,18,13,1.9,24,18,6,0.7,-7,1,0
2011KIA,KIA,2011,4,4.1,133,70,63,0,37,0.526,1163 2/3,1117,87,457,76,920,580,530,1.35,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6,0.269,5129,4373,627,1177,204,15,106,1729,597,109,34,554,11,59,782,110,0.395,0.357,0.752,133,0.28,0.203,67,8,3491,1400,126,0.986,5,120,48,28.6,151,113,38,74.8,48,7,1,-0.29,0,11,-11,0,-3,0.082,-20,-110,-6,-11,-5,35,-61,-47,-0.08,3,3,5,-16,-214,-740,-0.015,-25,4,-10,-10,-5,-2,2,0.009,-37,-43,16,29,14,-2,0,39,23,0,1,31,-3,-26,-83,0,0.012,0.01,0.022,0,0.017,0.038,-19,0,-60,-93,8,0.003,1,-36,0,5.1,-18,-4,-14,5.6,0,-7,0.47,0,-22,26,0,4,-0.184,-15.33333333,49,-15,27,-2,-8,60,55,0.08,0,-3,-8,12,29,368,0.014,18,-3,50,1,-3,31,2,-0.007,-49,-39,-95,-43,-7,-7,-50,-214,-97,35,-8,-56,-13,19,-25,-2,-0.044,-0.01,-0.054,1,-0.015,-0.097,-8,3,-46,-7,-11,0.001,1,23,3,-1.8,4,4,0,0.7,-16,2,-4
2011두산,두산,2011,5,4.26,133,61,70,0,46,0.466,1188 2/3,1231,96,476,75,855,619,563,1.44,4,7,51,12,5170,20081,0.276,198,30,110,45,19,70,6,0.271,5204,4498,614,1221,196,27,92,1747,578,73,39,513,17,81,799,118,0.388,0.354,0.742,133,0.279,0.19,81,9,3566,1463,132,0.984,6,96,71,42.5,187,130,57,69.5,70,3,-2,-0.36,0,-12,13,0,-10,-0.096,9,41,-39,39,-10,-33,-50,-43,0.06,2,0,1,0,39,400,0.01,4,7,21,-2,13,12,4,-0.01,-48,-40,-117,-55,-28,2,-57,-250,-128,19,1,-20,-10,-8,-35,21,-0.052,-0.011,-0.063,0,-0.005,-0.02,-10,-2,27,8,20,0.002,-2,-23,27,15.5,-2,2,-4,1.8,14,-9,0.02,0,2,-3,0,-3,0.02,-6.666666667,-31,15,-78,10,26,7,-1,-0.08,1,1,23,-3,-74,-255,-0.006,-28,-5,16,0,-1,3,-1,0.001,-13,-53,9,-10,9,-8,29,70,37,28,-2,11,6,3,-15,-31,0.02,0.003,0.023,0,0,0.053,8,5,-20,0,-36,-0.002,-4,12,-9,-6.1,10,-1,11,-4.4,-6,5,0
2011LG,LG,2011,6,4.15,133,59,72,0,50,0.45,1193 2/3,1173,80,512,71,827,620,550,1.41,2,11,57,15,5209,19771,0.261,206,28,98,34,20,52,6,0.266,5158,4522,579,1203,192,15,94,1707,539,86,37,463,15,49,858,106,0.377,0.338,0.715,133,0.271,0.169,97,11,3581,1417,131,0.981,20,110,51,31.7,168,116,52,69,53,4,0,-1.08,0,2,1,0,-9,0.005,5.666666667,-106,-45,-48,-33,34,-126,-140,-0.14,-1,3,23,-4,-117,-672,-0.023,-3,14,-8,-18,-3,-22,0,-0.01,-112,-82,-109,-67,-31,-2,-27,-183,-113,4,-7,-23,-10,-5,-49,9,-0.034,-0.011,-0.045,0,-0.016,-0.023,5,2,17,-156,-36,-0.001,13,-14,-15,-3,-57,-53,-4,-6.1,-5,-11,-0.19,0,3,-4,0,21,0.026,13,-37,-40,-25,13,16,-17,-17,-0.07,3,5,-10,8,-13,-172,-0.006,-32,-6,21,9,13,18,5,-0.002,22,99,18,19,41,-4,-8,28,25,-15,-1,-66,-3,5,126,-27,-0.002,-0.011,-0.013,0,0.022,-0.069,8,0,39,59,14,-0.002,-6,-12,17,8.2,37,28,9,0.1,2,9,1
2011한화,한화,2011,6,5.11,133,59,72,0,36,0.45,1175,1273,128,524,55,938,727,667,1.53,4,6,44,12,5280,20442,0.278,223,18,79,44,10,91,2,0.255,5085,4367,568,1112,160,14,93,1579,536,130,25,488,14,74,906,93,0.362,0.338,0.7,133,0.287,0.212,82,4,3525,1284,104,0.983,6,136,36,20.9,176,100,76,56.8,42,13,2,-0.32,0,10,-10,0,8,0.076,5.666666667,-17,-18,-27,-17,132,-36,-38,-0.04,-2,0,-2,3,13,120,-0.008,-6,4,-6,3,-7,26,-3,0.011,76,46,25,59,0,1,-11,28,28,55,-8,-9,4,-6,-37,-13,0.003,0.007,0.01,0,0.024,0.04,2,-6,17,-164,-23,-0.001,-1,-15,-22,-6.9,-15,-21,6,-6.6,-14,2,-0.27,0,3,-2,0,-6,0.02,-4.666666667,-45,-30,-18,-5,-102,-42,-38,-0.05,2,4,14,0,-79,-436,-0.006,24,-9,20,-15,-11,9,0,-0.025,-264,-299,-114,-188,-51,0,-60,-419,-121,32,2,-1,-6,-1,-74,-20,-0.067,-0.017,-0.084,0,-0.001,-0.086,-14,0,-14,31,-19,0.003,-4,-23,2,3.5,102,52,50,-14.1,18,6,0
2011넥센,넥센,2011,8,4.36,133,51,80,0,66,0.389,1171 1/3,1167,81,601,76,830,622,568,1.51,0,10,44,13,5195,20610,0.268,194,20,115,46,16,73,1,0.245,4989,4343,512,1065,187,23,79,1535,472,103,32,460,16,51,992,94,0.353,0.323,0.676,132,0.252,0.212,96,8,3514,1495,142,0.981,14,175,68,28,154,99,55,64.3,47,11,-1,-0.19,0,-1,2,0,27,-0.011,-14.33333333,5,-41,-13,-19,-2,-30,-31,0.01,-1,8,2,1,-36,-443,0.003,-7,4,22,-2,-1,7,-2,-0.017,-150,-109,-58,-100,-12,3,-8,-130,-67,8,-11,-20,0,-17,118,-25,-0.021,-0.017,-0.038,0,-0.016,-0.009,3,-9,-43,-20,-6,-0.001,5,15,0,-1.8,-37,-36,-1,-6.4,-9,6,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2010SK,SK,2010,1,3.71,133,84,47,0,39,0.641,1198 1/3,1074,117,543,47,1091,545,494,1.35,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2,0.274,5213,4439,704,1217,222,16,120,1831,648,147,44,485,25,98,813,86,0.412,0.355,0.767,132,0.284,0.243,81,6,3595,1400,126,0.984,7,109,59,35.1,230,161,69,70,51,13,1,0.04,0,4,0,0,5,0.011,-14.66666667,-67,-13,24,-7,59,-5,0,-0.02,0,7,-1,-1,-89,-97,-0.009,1,0,21,-9,-7,12,-1,-0.011,-166,-135,-28,-86,-13,-1,-46,-239,-45,19,4,-67,9,14,-79,-17,-0.041,-0.014,-0.055,-1,0.028,-0.051,-13,1,-44,-6,-26,0.002,-2,29,16,0.1,-19,-20,1,-2.7,-9,3,0.45,7,-3,4,0,-38,-0.029,62,88,52,71,-1,231,89,82,0.07,1,-6,2,-6,348,1787,0.004,27,3,-6,-1,21,33,1,0.003,376,242,100,81,20,-6,77,320,102,48,2,61,1,22,157,4,0.049,0.008,0.057,7,-0.022,0.005,-8,-4,186,-58,19,0.002,3,-9,-22,-7.2,-4,11,-15,5.5,8,3,-1
2010삼성,삼성,2010,2,3.94,133,79,52,0,44,0.603,1193 2/3,1168,103,453,54,951,575,523,1.36,2,7,35,12,5119,19811,0.26,203,20,84,38,11,61,3,0.272,5287,4436,681,1207,212,14,118,1801,630,111,44,621,29,75,916,111,0.406,0.368,0.774,133,0.265,0.247,92,12,3581,1369,118,0.982,6,134,65,32.7,213,158,55,74.2,54,8,3,-1.04,0,15,-17,0,-1,0.122,30,-58,-38,-156,-2,46,-125,-121,-0.22,-1,5,-10,-2,-90,-544,-0.018,-22,-4,4,-13,2,-6,2,-0.003,67,-23,-4,-17,-21,-1,-28,-124,-20,44,1,37,6,8,127,3,-0.026,0.004,-0.022,0,-0.01,-0.019,12,2,90,1,-18,-0.002,-2,-8,9,4.4,38,33,5,2.8,-10,0,0.58,7,-1,8,0,-3,-0.035,40.33333333,42,54,193,13,202,104,95,0.16,3,-4,18,7,342,1823,0.003,16,6,26,10,5,18,-3,0.017,361,279,128,146,47,-1,54,353,130,-3,5,79,8,2,90,-7,0.056,0.02,0.076,9,0.001,0.06,11,1,121,-19,17,-0.002,-1,18,-3,-3.9,79,66,13,9.9,11,2,-1
2010두산,두산,2010,3,4.62,133,73,57,0,56,0.562,1179 2/3,1190,135,437,85,888,669,606,1.38,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2,0.281,5252,4538,731,1276,224,25,149,1997,706,54,38,533,27,89,834,97,0.44,0.365,0.805,133,0.284,0.21,91,11,3539,1455,112,0.982,8,119,44,27,189,128,61,67.7,56,12,0,0.02,0,2,-3,0,-3,0.02,-6.666666667,-31,15,-78,10,26,7,-1,-0.08,1,1,23,-3,-74,-255,-0.006,-28,-5,16,0,-1,3,-1,0.001,-13,-53,9,-10,9,-8,29,70,37,28,-2,11,6,3,-15,-31,0.02,0.003,0.023,0,0,0.053,8,5,-20,0,-36,-0.002,-4,12,-9,-6.1,10,-1,11,-4.4,-6,5,0.71,7,1,4,0,22,-0.014,51.66666667,106,42,136,6,82,120,117,0.14,1,-2,-14,1,348,1677,0.013,30,-1,7,2,-6,10,-2,0.004,290,247,75,88,49,-4,52,285,71,-10,-4,50,-2,8,130,13,0.042,0.008,0.05,7,0.006,-0.153,-9,1,155,130,37,0.003,0,-2,7,3.4,-73,-60,-13,-2.9,15,-1,-1
2010롯데,롯데,2010,4,4.82,133,69,61,0,37,0.531,1194,1291,149,419,78,779,710,640,1.43,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3,0.288,5261,4673,773,1345,220,16,185,2152,739,60,41,420,15,67,873,105,0.461,0.352,0.813,133,0.315,0.202,102,11,3582,1680,130,0.981,6,131,62,32.1,175,124,51,70.9,62,7,0,0.07,0,3,-6,0,0,0.035,31.66666667,1,10,-68,11,57,41,27,-0.1,1,-7,11,7,39,441,-0.005,-14,6,22,-5,6,0,0,0.011,208,253,136,122,-32,1,64,284,142,0,-8,-36,6,-1,57,-16,0.038,0.002,0.04,0,0.042,0.014,6,2,95,157,-22,0,-3,18,13,1.9,24,18,6,0.7,-7,1,1.11,7,-3,10,0,-1,-0.052,43.33333333,156,69,78,20,51,151,160,0.15,-3,8,-16,-4,396,1416,0.017,45,-8,-11,2,3,7,1,-0.005,163,164,13,23,53,-7,28,146,7,-2,-2,11,-4,-8,88,24,0.018,-0.006,0.012,7,0,-0.001,4,6,130,16,-3,0,2,1,-6,-2.7,-50,-27,-23,4,-8,-3,-1
2010KIA,KIA,2010,5,4.39,133,59,74,0,40,0.444,1183 2/3,1227,93,468,81,885,641,577,1.43,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4,0.26,5166,4416,611,1148,190,17,106,1690,574,109,33,523,14,85,865,110,0.383,0.347,0.73,133,0.263,0.165,86,8,3551,1493,118,0.983,4,156,48,23.5,169,117,52,69.2,48,14,-4,0.47,0,-22,26,0,4,-0.184,-15.33333333,49,-15,27,-2,-8,60,55,0.08,0,-3,-8,12,29,368,0.014,18,-3,50,1,-3,31,2,-0.007,-49,-39,-95,-43,-7,-7,-50,-214,-97,35,-8,-56,-13,19,-25,-2,-0.044,-0.01,-0.054,1,-0.015,-0.097,-8,3,-46,-7,-11,0.001,1,23,3,-1.8,4,4,0,0.7,-16,2,-0.16,7,24,-21,0,10,0.176,75,100,43,-32,6,160,26,12,-0.03,1,1,4,4,326,1308,0.002,34,-2,2,-8,13,-30,-3,0.007,383,245,203,96,9,-4,108,421,206,-11,6,126,13,18,248,15,0.075,0.021,0.096,6,0.027,0.045,19,0,225,19,0,-0.003,-3,-10,-9,-2.1,-31,-18,-13,1.7,2,1,5
2010LG,LG,2010,6,5.23,133,57,71,0,59,0.445,1188,1279,125,560,104,793,746,690,1.55,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6,0.276,5270,4604,688,1270,223,17,121,1890,652,82,44,486,25,54,907,97,0.411,0.349,0.76,133,0.287,0.192,92,9,3564,1573,167,0.982,7,124,66,34.7,225,169,56,75.1,58,15,1,-0.19,0,3,-4,0,21,0.026,13,-37,-40,-25,13,16,-17,-17,-0.07,3,5,-10,8,-13,-172,-0.006,-32,-6,21,9,13,18,5,-0.002,22,99,18,19,41,-4,-8,28,25,-15,-1,-66,-3,5,126,-27,-0.002,-0.011,-0.013,0,0.022,-0.069,8,0,39,59,14,-0.002,-6,-12,17,8.2,37,28,9,0.1,2,9,0.57,7,8,-5,0,-2,0.054,66.66666667,77,83,105,19,146,117,110,0.07,-1,-6,2,1,363,2007,0.002,16,-21,8,4,6,10,-2,0.022,505,321,202,181,18,-2,63,384,180,12,-5,188,22,-10,16,34,0.06,0.039,0.099,7,0.016,0.004,8,-4,200,149,35,0,6,49,-2,-10.5,32,30,2,3.8,8,-2,1
2010넥센,넥센,2010,7,4.55,133,52,78,0,39,0.4,1185 2/3,1162,122,614,95,832,652,599,1.5,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3,0.262,5139,4452,570,1165,199,20,87,1665,539,95,43,480,16,68,874,119,0.374,0.34,0.714,132,0.268,0.221,93,17,3557,1515,148,0.982,9,160,68,29.8,191,135,56,70.7,56,5,,0.07,0.85840708,0.849557522,0.212389381,2.734513274,2.628318584,0.002283186,7.542772861,21.15044248,0.911504425,7.097345133,-0.761061947,4.769911504,14.85840708,13.80530973,0.013893805,-0.247787611,-0.123893805,-0.132743363,1.115044248,49.42477876,196.4778761,0.00199115,3.03539823,0.522123894,-0.513274336,1.185840708,-0.601769912,1.477876106,0.203539823,0.002477876,52.54867257,41.98230088,16.99115044,23.38938053,3.097345133,0.362831858,1.327433628,31.19469027,15.76106195,0.132743363,1.451327434,8.911504425,-0.451327434,0.123893805,1.681415929,1.539823009,0.002831858,0.002654867,0.005486726,0.867256637,0.002849558,0.005017699,0.814159292,0.008849558,22.62831858,6.309734513,1.03539823,-6.19E-05,-0.159292035,0.03539823,0.008849558,-0.045132743,-0.415929204,-0.610619469,0.194690265,-0.14159292,0.85840708,0.07079646,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
2010한화,한화,2010,8,5.43,133,49,82,0,28,0.374,1169 1/3,1290,146,551,72,806,763,705,1.57,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5,0.244,5009,4321,543,1053,160,13,104,1551,508,75,33,497,10,80,943,106,0.359,0.331,0.69,133,0.263,0.172,80,10,3508,1448,127,0.984,7,151,58,27.8,191,121,70,63.4,56,11,0,-0.27,0,3,-2,0,-6,0.02,-4.666666667,-45,-30,-18,-5,-102,-42,-38,-0.05,2,4,14,0,-79,-436,-0.006,24,-9,20,-15,-11,9,0,-0.025,-264,-299,-114,-188,-51,0,-60,-419,-121,32,2,-1,-6,-1,-74,-20,-0.067,-0.017,-0.084,0,-0.001,-0.086,-14,0,-14,31,-19,0.003,-4,-23,2,3.5,102,52,50,-14.1,18,6,1.27,7,-18,22,0,-5,-0.154,44.33333333,199,81,50,28,185,210,187,0.15,1,-3,-12,-1,435,1767,0.023,31,7,-9,10,0,19,1,0.015,391,345,65,155,7,-7,44,280,63,-9,-4,35,-1,24,247,26,0.031,0.015,0.046,9,-0.019,0.063,33,2,133,-40,-4,-0.007,2,3,1,0,-33,-28,-5,-2,0,1,-3
2009KIA,KIA,2009,1,3.92,133,81,48,0,36,0.628,1199,1178,108,441,83,893,581,522,1.35,4,10,62,14,5176,19699,0.258,214,17,52,34,22,22,2,0.267,5215,4455,706,1191,197,24,156,1904,671,74,41,579,27,66,890,112,0.427,0.357,0.784,132,0.278,0.262,94,5,3597,1500,129,0.982,3,133,45,25.3,165,113,52,68.5,64,12,5,-0.16,7,24,-21,0,10,0.176,75,100,43,-32,6,160,26,12,-0.03,1,1,4,4,326,1308,0.002,34,-2,2,-8,13,-30,-3,0.007,383,245,203,96,9,-4,108,421,206,-11,6,126,13,18,248,15,0.075,0.021,0.096,6,0.027,0.045,19,0,225,19,0,-0.003,-3,-10,-9,-2.1,-31,-18,-13,1.7,2,1,-0.41,0,6,-5,0,-1,0.044,14.33333333,-31,-38,-53,-20,63,-47,-44,-0.09,1,3,15,4,-83,-461,-0.01,-64,2,-43,3,-19,-8,-2,0.003,21,6,4,15,-10,12,-25,-46,0,7,-10,25,7,-7,12,-20,-0.012,0.006,-0.006,0,0.009,0.061,-2,0,43,55,-2,0.001,-2,29,17,2.9,82,61,21,5.4,32,6,2
2009SK,SK,2009,2,3.67,133,80,47,0,34,0.63,1213,1141,130,519,54,1032,550,494,1.37,2,4,54,10,5203,20394,0.252,154,17,64,31,34,68,3,0.285,5379,4574,732,1303,235,17,166,2070,693,128,40,552,16,84,892,103,0.453,0.369,0.822,133,0.256,0.294,94,5,3639,1406,152,0.982,9,80,43,35,249,181,68,72.7,60,10,-1,0.45,7,-3,4,0,-38,-0.029,62,88,52,71,-1,231,89,82,0.07,1,-6,2,-6,348,1787,0.004,27,3,-6,-1,21,33,1,0.003,376,242,100,81,20,-6,77,320,102,48,2,61,1,22,157,4,0.049,0.008,0.057,7,-0.022,0.005,-8,-4,186,-58,19,0.002,3,-9,-22,-7.2,-4,11,-15,5.5,8,3,-0.02,0,10,-5,0,-5,0.056,11.66666667,-26,1,3,-12,151,-4,2,-0.04,0,0,-6,7,3,182,-0.008,-14,7,-24,0,-14,7,1,0.018,122,96,29,104,3,3,-23,44,23,-7,-2,49,-7,-14,-15,13,0.001,0.02,0.021,1,-0.005,0.066,14,6,35,-39,-19,-0.002,5,18,15,0.9,49,34,15,0.5,2,-2,0
2009두산,두산,2009,3,4.6,133,71,60,0,59,0.542,1186 1/3,1221,120,515,75,862,662,607,1.46,1,6,27,15,5205,19936,0.272,222,28,73,47,7,55,3,0.28,5265,4591,722,1286,215,33,120,1927,669,26,40,522,21,86,849,128,0.42,0.362,0.782,133,0.284,0.157,83,6,3559,1455,148,0.984,12,107,53,33.1,179,129,50,72.1,62,7,-1,0.71,7,1,4,0,22,-0.014,51.66666667,106,42,136,6,82,120,117,0.14,1,-2,-14,1,348,1677,0.013,30,-1,7,2,-6,10,-2,0.004,290,247,75,88,49,-4,52,285,71,-10,-4,50,-2,8,130,13,0.042,0.008,0.05,7,0.006,-0.153,-9,1,155,130,37,0.003,0,-2,7,3.4,-73,-60,-13,-2.9,15,-1,0.45,0,0,2,0,-5,-0.009,3.333333333,48,4,-20,-6,59,62,58,0.02,-6,-6,-16,3,43,-205,0.007,5,12,-13,11,-11,2,1,0.013,119,145,69,95,-43,5,-10,32,55,-32,-7,23,2,-10,-29,13,-0.005,0.011,0.006,0,0.009,0.173,19,2,10,-8,-4,-0.004,-3,4,8,3.1,32,28,4,1.8,-15,-4,0
